cleaned_text,cleaned_labels
event coordinator specializing corporate event trade show event coordinator globalevents ltd year assistant manager expoworld year event planning corporate event vendor coordination bsc tourism management akdeniz university,hospitality group event management corporate event
travel specialist focusing group travel logistics itinerary planning travel specialist worldadventures year customer relation officer travelpro year group travel logistics coordination itinerary planning diploma tourism travel management ege university,hospitality group travel logistics group travel
pharmacist specializing drug safety clinical trial monitoring clinical pharmacist pharmahealth ltd year drug safety officer globalcare year drug safety clinical trial patient counseling bsc pharmacy hacettepe university,medical group pharmacy drug safety
laboratory technologist specializing hematology diagnostic testing lab technologist citylab ltd year diagnostic specialist biohealth year hematology diagnostic testing laboratory equipment diploma medical laboratory science ege university,medical group laboratory science hematology
geotechnical engineer specializing soil mechanic foundation design geotechnical engineer geobuild ltd year foundation specialist solidground year soil mechanic foundation design structural analysis bsc civil engineering boğaziçi university,field group geotechnical engineering soil mechanic
environmental engineer focusing water treatment system pollution control environmental engineer ecosolutions ltd year water treatment specialist greentech year water treatment pollution control environmental compliance msc environmental engineering middle east technical university,field group environmental engineering water treatment
hr specialist focusing performance management employee relation hr specialist talenthub ltd year employee relation officer peoplecare year performance management employee relation hr compliance bba human resource marmara university,backoffice group hr performance management
administrative assistant specializing document management scheduling administrative assistant bizops ltd year office coordinator adminplus year document management scheduling office coordination diploma office management anadolu university,backoffice group administration scheduling
corporate banker specializing business loan financial risk analysis corporate banker banktrust ltd year risk analyst financegrowth year business loan risk analysis portfolio management mba finance koç university,finance banking group corporate banking risk analysis
financial planner focusing investment strategy retirement planning financial planner wealthpro ltd year investment advisor globalfinance year investment strategy retirement planning risk assessment bsc economics marmara university,finance banking group financial planning investment strategy
business development manager specializing bb partnership client acquisition business development manager bizdev ltd year client acquisition specialist growthpros year bb sale client relationship lead generation bba marketing koç university,sale group business development bb sale
retail sale associate specializing fashion luxury good retail sale associate stylehub year customer experience officer luxurybrands ltd year retail sale customer experience luxury good diploma marketing ege university,sale group retail sale luxury good
hotel manager specializing front office operation guest relation hotel manager luxurystays ltd year guest relation officer eliteresorts year hotel operation front office management customer service bsc tourism management akdeniz university,hospitality group hotel management guest relation
event specialist focusing international conference trade show event specialist globalevents ltd year exhibition coordinator expoworld year event planning conference coordination vendor relation diploma event management ege university,hospitality group event planning trade show
social medium manager specializing campaign analytics audience engagement social medium manager digitalwave year content strategist adsphere year social medium campaign analytics seo bsc marketing boğaziçi university,medium marketing group social medium campaign optimization
brand manager specializing product marketing digital branding brand manager brandboost ltd year marketing coordinator marketpro year product marketing brand strategy digital branding bsc marketing koç university,medium marketing group brand management digital marketing
corporate finance advisor specializing merger acquisition corporate finance advisor globaladvisors ltd year junior analyst financepro year merger acquisition corporate valuation financial forecasting mba finance koç university,finance banking group corporate finance merger acquisition
investment analyst specializing risk assessment market trend investment analyst capitalgrowth ltd year risk analyst marketinsights year risk assessment market analysis portfolio management bsc economics marmara university,finance banking group investment analysis risk management
hr generalist specializing recruitment employee development program hr generalist peoplecare ltd year recruitment specialist talenthub year recruitment employee training hr compliance bba human resource anadolu university,backoffice group hr recruitment
administrative coordinator focusing logistics resource planning administrative coordinator bizops ltd year logistics planner smartflow year logistics coordination office management vendor relation diploma business administration ege university,backoffice group administration logistics planning
sale executive specializing saas solution client acquisition sale executive techsales ltd year customer acquisition specialist growthpro year saas sale client management sale forecasting bba marketing boğaziçi university,sale group saas sale client acquisition
retail sale manager specializing team supervision customer retention retail sale manager fashionpoint ltd year customer service officer stylehub year customer retention sale team management retail strategy diploma business administration ege university,sale group retail sale team supervision
travel consultant focusing luxury travel personalized itinerary travel consultant luxurytravel ltd year itinerary planner travelpro year luxury travel customer engagement itinerary design diploma tourism management ege university,hospitality group travel consultancy luxury travel
event coordinator specializing corporate meeting trade exhibition event coordinator eliteevents ltd year assistant manager globalexpos year event planning vendor management conference coordination bsc tourism management akdeniz university,hospitality group event management trade exhibition
content marketing specialist focusing seo audience engagement content marketing specialist adsphere year seo analyst digitalwave year seo content strategy audience analytics bsc marketing marmara university,medium marketing group content marketing seo
advertising specialist specializing campaign analytics budget optimization advertising specialist brandboost ltd year medium buyer marketpro year campaign analytics budget management digital advertising bba marketing boğaziçi university,medium marketing group advertising campaign management
production planner specializing lean manufacturing resource allocation production planner efficientmanuf ltd year operation analyst smartflow year production planning lean manufacturing workflow optimization bsc industrial engineering middle east technical university,industrial management group production planning lean manufacturing
logistics coordinator focusing transportation management supply chain efficiency logistics coordinator globalsupply ltd year transportation planner logitrack year supply chain logistics transportation management vendor coordination bba logistics anadolu university,industrial management group logistics supply chain
automation engineer specializing industrial robotics process automation automation engineer autotech ltd year process automation specialist roboflow year robotics process automation control system bsc mechatronics engineering yıldız technical university,technical group automation engineering robotics
electrical engineer focusing power system renewable energy project power system engineer energysolutions ltd year renewable energy consultant greengrid year power system renewable energy grid optimization bsc electrical engineering middle east technical university,technical group electrical engineering power system
office manager specializing team coordination scheduling office manager bizops ltd year administrative assistant adminplus year team coordination scheduling office administration diploma office management anadolu university,backoffice group office management administration
administrative officer specializing procurement logistics planning administrative officer logitrack ltd year procurement specialist smartflow year procurement logistics planning vendor management diploma business administration marmara university,backoffice group administration logistics
operation manager specializing supply chain optimization resource planning operation manager globalsupply ltd year supply chain coordinator smartmanuf year supply chain optimization resource planning workflow efficiency bba logistics anadolu university,industrial management group supply chain operation management
production manager focusing lean manufacturing workflow optimization production manager efficientops ltd year workflow analyst smartmanuf year lean manufacturing process improvement resource management bsc industrial engineering middle east technical university,industrial management group production management lean manufacturing
logistics supervisor specializing transportation planning supply chain management logistics supervisor globallogistics ltd year transportation planner ecosupply year supply chain management transportation planning vendor relation bba logistics anadolu university,industrial management group logistics transportation planning
administrative assistant specializing document management event coordination administrative assistant bizadmin ltd year office coordinator adminflow year document management scheduling event coordination diploma office management ege university,backoffice group administration document management
hr officer focusing employee relation training program development hr officer talentcare ltd year training coordinator peoplefirst year employee relation training development hr policy bba human resource marmara university,backoffice group hr employee relation
electrical engineer specializing power distribution smart grid system electrical engineer gridtech ltd year power system specialist ecogrid year power system smart grid renewable energy integration bsc electrical engineering middle east technical university,technical group electrical engineering smart grid
civil engineer specializing infrastructure development urban planning civil engineer urbanbuild ltd year infrastructure planner citystructures year urban planning infrastructure development project management bsc civil engineering boğaziçi university,technical group civil engineering infrastructure
marketing consultant specializing brand positioning competitive analysis marketing consultant brandstrategy ltd year market analyst insightpro year brand strategy competitive analysis customer insight bsc business administration koç university,medium marketing group marketing consultancy competitive analysis
public relation officer focusing corporate communication event management pr officer globalmedia ltd year event coordinator expoworld year corporate communication medium relation event management bsc communication anadolu university,medium marketing group public relation corporate communication
agricultural engineer focusing sustainable farming practice crop management agricultural engineer greenfarms ltd year crop specialist ecoagritech year sustainable farming soil analysis crop optimization bsc agricultural engineering ege university,field group agriculture sustainable farming
environmental technician focusing pollution control environmental testing environmental technician ecosolutions ltd year testing specialist greentests year pollution control environmental testing compliance monitoring diploma environmental technology hacettepe university,field group environmental technology pollution control
tourism officer specializing cultural tourism guided tour tourism officer culturaltours ltd year tour guide exploreworld year cultural tourism guided tour customer engagement bsc tourism travel akdeniz university,hospitality group tourism cultural tourism
hotel operation supervisor focusing room management customer service hotel operation supervisor luxurystays ltd year customer service officer elitehotels year room management guest relation staff coordination diploma hospitality management marmara university,hospitality group hotel operation customer service
operation manager specializing production efficiency supply chain optimization operation manager globalmanuf ltd year supply chain coordinator smartflow year production efficiency supply chain optimization workflow management bsc industrial engineering middle east technical university,industrial management group operation management supply chain
manufacturing supervisor focusing lean production team leadership manufacturing supervisor ecomanuf ltd year process engineer leanflow year lean production team leadership process improvement bsc industrial engineering boğaziçi university,industrial management group manufacturing team leadership
automation specialist focusing industrial robotics motion control system automation specialist autopro ltd year robotics engineer techmotion year industrial robotics motion control automation system bsc mechatronics engineering istanbul technical university,technical group automation robotics
renewable energy engineer focusing solar panel design power grid integration renewable energy engineer ecopower ltd year solar panel specialist greentech year solar panel design grid integration renewable energy system bsc electrical engineering middle east technical university,technical group renewable energy solar panel
wealth advisor focusing portfolio management highnetworth client wealth advisor wealthpro ltd year investment analyst capitalgrowth year portfolio management client advising risk assessment mba finance koç university,finance banking group wealth advising portfolio management
financial risk manager specializing credit risk market fluctuation risk manager securefinance ltd year risk analyst marketinsights year credit risk market analysis compliance bsc economics marmara university,finance banking group risk management market analysis
civil engineer specializing water resource management infrastructure project civil engineer hydrobuild ltd year infrastructure specialist ecostructures year water resource management infrastructure planning environmental compliance bsc civil engineering boğaziçi university,field group civil engineering water resource
environmental consultant focusing industrial waste management sustainability practice environmental consultant ecosolutions ltd year waste management specialist greentech year industrial waste management sustainability practice compliance auditing bsc environmental science ege university,field group environmental consulting sustainability
bb sale manager specializing enterprise software solution client onboarding sale manager techsolutions ltd year client onboarding specialist bizgrowth year enterprise sale client onboarding lead management bba marketing marmara university,sale group bb sale enterprise software
retail sale specialist focusing ecommerce strategy customer experience ecommerce sale specialist stylehub ltd year customer experience officer fashionpoint year ecommerce strategy customer experience sale analytics diploma business administration ege university,sale group ecommerce customer engagement
event manager specializing international conference exhibition planning event manager globalevents ltd year exhibition planner expoworld year conference planning vendor coordination international event diploma event management akdeniz university,hospitality group event planning international conference
travel agent specializing personalized itinerary luxury travel package travel agent worldadventures ltd year customer relation specialist luxurytravel year luxury travel customer relation personalized itinerary diploma tourism management ege university,hospitality group travel agency luxury travel
logistics planner focusing freight management vendor negotiation logistics planner globalsupply ltd year vendor coordinator smartchain year freight management vendor negotiation supply chain coordination bba logistics marmara university,industrial management group logistics freight management
operation coordinator specializing workflow optimization process analysis operation coordinator efficientops ltd year process analyst leanflow year workflow optimization process analysis team leadership bsc industrial engineering middle east technical university,industrial management group operation coordination process optimization
sale executive specializing fmcg product strategic account management sale executive fastgoods ltd year key account manager retailpro year strategic account fmcg sale market penetration bba marketing boğaziçi university,sale group fmcg account management
business development officer specializing partnership acquisition revenue growth business development officer bizexpand ltd year partnership specialist growthpros year partnership acquisition revenue growth sale strategy bba business administration koç university,sale group business development revenue growth
administrative coordinator focusing data management operational workflow administrative coordinator officeflow ltd year data specialist bizops year operational workflow data management document coordination diploma business administration anadolu university,backoffice group administration workflow management
hr specialist focusing talent acquisition onboarding process hr specialist peoplehub ltd year onboarding coordinator talentcare year talent acquisition employee onboarding recruitment strategy bba human resource marmara university,backoffice group hr talent acquisition
marketing analyst focusing campaign performance tracking competitor analysis marketing analyst adsphere ltd year campaign strategist marketedge year performance tracking competitor analysis seo strategy bsc marketing boğaziçi university,medium marketing group marketing analysis campaign strategy
digital advertising manager specializing programmatic campaign roi optimization advertising manager digitalpro ltd year medium planner adwave year programmatic campaign roi optimization medium planning bba marketing koç university,medium marketing group digital advertising programmatic campaign
software engineer focusing cloudbased architecture microservices development software engineer clouddev ltd year backend developer techsolutions year microservices development cloud computing api design bsc computer science middle east technical university,technical group software engineering cloud architecture
data scientist specializing machine learning algorithm big data analysis data scientist datainsight ltd year machine learning engineer aipro year machine learning big data predictive modeling msc data science boğaziçi university,technical group data science machine learning
office manager specializing workflow coordination administrative support office manager bizadmin ltd year document specialist officeflow year workflow coordination administrative support document management diploma business administration anadolu university,backoffice group office management workflow coordination
hr assistant specializing payroll processing compliance management hr assistant peoplefirst ltd year payroll coordinator talenthub year payroll processing compliance management employee support diploma human resource marmara university,backoffice group hr payroll processing
content strategist focusing digital storytelling audience retention content strategist digitalwave ltd year seo specialist adsphere year digital storytelling audience retention seo optimization bsc communication boğaziçi university,medium marketing group content strategy digital storytelling
social medium marketer focusing influencer partnership engagement analytics social medium marketer adwave ltd year engagement specialist marketedge year influencer marketing engagement analytics content creation bsc marketing ege university,medium marketing group social medium marketing influencer partnership
supply chain analyst specializing inventory optimization demand forecasting supply chain analyst smartchain ltd year inventory manager globalsupply year inventory optimization demand forecasting vendor negotiation bba logistics koç university,industrial management group supply chain inventory management
operation analyst specializing production scheduling lean strategy operation analyst leanops ltd year production planner ecomanuf year production scheduling lean strategy workflow optimization bsc industrial engineering middle east technical university,industrial management group operation analysis lean strategy
electrical engineer focusing renewable energy integration smart system electrical engineer ecogrid ltd year power system specialist renewtech year renewable energy smart system power distribution bsc electrical engineering yıldız technical university,technical group electrical engineering smart system
data analyst specializing predictive modeling statistical analysis data analyst datainsight ltd year machine learning specialist aipro year predictive modeling statistical analysis big data msc data science boğaziçi university,technical group data analysis predictive modeling
mechanical engineer specializing robotics autonomous system mechanical engineer robotech ltd year autonomous system developer autopro year robotics design automation system mechanical prototyping bsc mechanical engineering istanbul technical university,technical group mechanical engineering robotics
software developer specializing artificial intelligence natural language processing ai developer ai solution ltd year nlp specialist languagetech year artificial intelligence natural language processing deep learning msc computer science boğaziçi university,technical group ai development nlp
devops engineer focusing cicd pipeline cloud infrastructure management devops engineer cloudworks ltd year infrastructure specialist techops year cicd pipeline cloud infrastructure containerization bsc computer science middle east technical university,group devops cloud computing
fullstack developer specializing javascript framework api integration fullstack developer codeflow ltd year frontend developer webpro year javascript framework rest api development react bsc software engineering hacettepe university,group fullstack development api integration
pharmaceutical scientist specializing drug discovery development pharmaceutical scientist pharmatech ltd year clinical researcher healthpro year drug discovery clinical trial biotechnology msc pharmaceutical science hacettepe university,medical group pharmaceutical research drug discovery
registered nurse specializing surgical assistance patient recovery surgical nurse city hospital year patient care coordinator healthfirst year surgical assistance postoperative care patient recovery bsc nursing ege university,medical group nursing surgical assistance
financial consultant specializing corporate restructuring advisory financial consultant advisorypro ltd year analyst globalfinance year corporate restructuring merger acquisition financial modeling mba finance koç university,finance banking group corporate finance advisory
risk management specialist focusing credit market risk analysis risk management specialist banktrust ltd year market risk analyst securefinance year credit risk analysis market risk management compliance bsc economics marmara university,finance banking group risk management credit risk
environmental engineer specializing water treatment pollution control water treatment engineer ecosolutions ltd year pollution control specialist greenpro year water treatment pollution control sustainability bsc environmental engineering boğaziçi university,field group environmental engineering water treatment
agricultural consultant focusing sustainable farming irrigation system agricultural consultant agrotech ltd year irrigation specialist greenfarm year sustainable farming irrigation system soil analysis bsc agricultural engineering ege university,field group agriculture sustainable farming
cybersecurity engineer specializing penetration testing system hardening cybersecurity engineer securenet ltd year penetration tester techdefense year penetration testing system hardening network security bsc computer science middle east technical university,group cybersecurity penetration testing
ai developer specializing machine learning framework computer vision ai developer ai solution ltd year computer vision specialist visiontech year machine learning computer vision deep learning msc computer science boğaziçi university,group ai development computer vision
radiologist specializing imaging technology diagnostic procedure radiologist city hospital year imaging specialist healthscan year imaging technology diagnostic procedure patient care msc radiology hacettepe university,medical group radiology diagnostic imaging
clinical dietitian specializing personalized nutrition plan dietary assessment clinical dietitian healthpro ltd year nutritionist wellnessfirst year personalized nutrition dietary assessment nutritional counseling bsc nutrition dietetics ege university,medical group dietitian personalized nutrition
administrative officer specializing resource allocation office logistics administrative officer bizadmin ltd year resource coordinator officeflow year resource allocation logistics coordination office support diploma office management marmara university,backoffice group office management logistics
hr assistant specializing employee relation training program coordination hr assistant peoplecare ltd year training coordinator talenthub year employee relation training coordination hr compliance bba human resource ege university,backoffice group hr training program
marketing specialist focusing brand development digital outreach campaign marketing specialist adwave ltd year digital outreach coordinator brandboost year brand development digital outreach marketing strategy bsc marketing boğaziçi university,medium marketing group marketing brand development
content marketer specializing social medium campaign seodriven content content marketer socialbuzz ltd year seo analyst marketpro year social medium campaign seo audience analytics bsc communication koç university,medium marketing group content marketing seo
system administrator specializing linux server network infrastructure system administrator netsecure ltd year network engineer techgrid year linux server network infrastructure system security bsc information technology middle east technical university,technical group system administration linux
data engineer focusing big data processing database optimization data engineer dataflow ltd year database administrator infotech year big data processing database optimization data warehousing msc data science boğaziçi university,technical group data engineering database optimization
logistics specialist focusing freight optimization supply chain analysis logistics specialist smartchain ltd year freight manager globalsupply year freight optimization supply chain analysis vendor relation bba logistics marmara university,industrial management group logistics supply chain
operation manager specializing production planning quality assurance operation manager leanops ltd year production planner efficientmanuf year production planning quality assurance workflow management bsc industrial engineering middle east technical university,industrial management group operation management quality assurance
investment banker specializing equity market financial advisory investment banker capitaladvisory ltd year equity analyst marketpro year equity market financial advisory portfolio management mba finance koç university,finance banking group investment banking equity market
credit analyst specializing corporate loan risk assessment credit analyst banktrust ltd year risk officer securefinance year corporate loan risk assessment credit analysis bsc economics marmara university,finance banking group credit analysis risk assessment
civil engineer focusing road construction infrastructure development civil engineer urbanbuild ltd year infrastructure planner citystructures year road construction infrastructure development project planning bsc civil engineering boğaziçi university,field group civil engineering infrastructure
agricultural engineer specializing crop management sustainable farming agricultural engineer greenfarms ltd year crop specialist agritech year crop management sustainable farming soil analysis bsc agricultural engineering ege university,field group agriculture sustainable farming
cloud engineer specializing container orchestration microservices architecture cloud engineer cloudtech ltd year kubernetes specialist devopspro year container orchestration microservices architecture cloud platform bsc software engineering middle east technical university,group cloud engineering microservices
fullstack developer specializing pythonbased web application rest apis fullstack developer webflow ltd year backend developer techcode year python django rest api development bsc computer science boğaziçi university,group fullstack development python
pediatric nurse specializing neonatal care family education pediatric nurse childrens hospital year neonatal care specialist healthfirst year neonatal care family education pediatric support bsc nursing ege university,medical group nursing pediatrics
medical technologist specializing laboratory diagnostics quality control medical technologist labcare ltd year quality control specialist healthpro year diagnostic testing lab operation quality assurance bsc medical technology hacettepe university,medical group medical technology diagnostics
retail sale manager specializing fashion brand customer experience enhancement sale manager fashionpoint ltd year customer experience officer stylehub year fashion retail customer experience team leadership diploma business administration ege university,sale group retail sale fashion
corporate sale executive focusing bb software solution client retention corporate sale executive techsales ltd year bb account manager bizgrowth year bb sale client retention software solution bba marketing koç university,sale group bb sale software
hotel manager specializing front office operation staff coordination hotel manager luxurystays ltd year front office supervisor elitehotels year front office operation staff coordination customer service bsc hospitality management akdeniz university,hospitality group hotel management front office
event planner specializing destination wedding corporate meeting event planner globalevents ltd year event coordinator expoworld year destination wedding corporate event vendor management diploma event management ege university,hospitality group event planning destination wedding
administrative coordinator focusing meeting scheduling operational logistics administrative coordinator bizops ltd year office assistant smartflow year meeting scheduling logistics coordination document preparation diploma business administration marmara university,backoffice group administration logistics
hr specialist specializing recruitment performance evaluation hr specialist peoplehub ltd year recruitment officer talentcare year recruitment performance evaluation employee relation bba human resource ege university,backoffice group hr recruitment
digital marketing specialist focusing ppc campaign brand awareness digital marketing specialist adsphere ltd year brand coordinator marketedge year ppc campaign brand awareness seo bsc marketing boğaziçi university,medium marketing group digital marketing ppc
social medium strategist focusing engagement analytics content creation social medium strategist brandboost ltd year content specialist socialbuzz year social medium strategy content creation audience engagement bsc communication koç university,medium marketing group social medium content creation
supply chain manager specializing inventory optimization logistics planning supply chain manager ecosupply ltd year logistics planner smartflow year inventory optimization logistics planning vendor relation bba logistics anadolu university,industrial management group supply chain logistics planning
production engineer focusing workflow optimization quality control production engineer efficientmanuf ltd year quality control specialist leanops year workflow optimization quality control lean manufacturing bsc industrial engineering middle east technical university,industrial management group production engineering quality control
network engineer specializing security protocol cloudbased networking solution network engineer netsecure ltd year cloud networking specialist cloudflow year security protocol cloud networking infrastructure design bsc computer networking boğaziçi university,technical group networking security protocol
ai researcher specializing nlp model ethical ai development ai researcher ai innovation ltd year nlp developer languagetech year natural language processing ethical ai model optimization msc artificial intelligence boğaziçi university,technical group ai research nlp
tourism officer specializing luxury travel package customer service tourism officer luxurytravel ltd year customer relation specialist worldadventures year luxury travel customer service itinerary planning diploma tourism management ege university,hospitality group tourism luxury travel
devops engineer specializing kubernetes cicd pipeline automation devops engineer cloudnet ltd year infrastructure specialist techops year kubernetes cicd pipeline cloud infrastructure bsc software engineering middle east technical university,group devops cloud engineering
biomedical engineer specializing medical device development maintenance biomedical engineer meditech ltd year device maintenance specialist healthcarepro year medical device maintenance regulatory compliance bsc biomedical engineering hacettepe university,medical group biomedical engineering device maintenance
administrative manager specializing resource allocation workflow optimization administrative manager bizops ltd year workflow specialist officeflow year resource allocation workflow optimization administrative support diploma business administration marmara university,backoffice group administration resource management
brand strategist specializing digital branding market penetration strategy brand strategist adsphere ltd year market analyst marketpro year branding digital marketing market penetration bsc marketing boğaziçi university,medium marketing group brand strategy market analysis
operation planner focusing production scheduling resource management operation planner leanops ltd year production scheduler efficientmanuf year production scheduling resource management workflow optimization bsc industrial engineering boğaziçi university,industrial management group operation planning production scheduling
ai engineer specializing reinforcement learning model deployment ai engineer ai innovation ltd year machine learning specialist dataflow year reinforcement learning model deployment deep learning msc artificial intelligence middle east technical university,technical group ai engineering model deployment
corporate financial advisor specializing merger acquisition financial advisor globalfinance ltd year analyst capitaladvisors year merger acquisition corporate finance financial modeling mba finance koç university,finance banking group corporate finance merger acquisition
environmental engineer specializing waste management pollution control environmental engineer ecosolutions ltd year pollution control specialist greentech year waste management pollution control sustainability planning bsc environmental engineering ege university,field group environmental engineering pollution control
sale representative specializing bc consumer electronics customer acquisition sale representative techmart ltd year customer engagement specialist retailpro year consumer electronics sale customer acquisition lead generation bba marketing marmara university,sale group consumer electronics customer acquisition
